"刷单",20,1
"pan.baidu.com",20,1
"715094631",20,1
"942798940",20,1
"TLLK32",20,1
"志以科技",20,1
"33679 13675",20,1
"ai00088800",20,1
"零八宪章",20,1
"神韵艺术团",20,1
"台湾共和国",20,1
"五大书记，朕不得不罢免三位",20,1
"专访六四黄雀行动总指挥六哥陈达钲",20,1
"彭丽援",20,1
"吸进贫",30,1
"吸精嫔",30,1
"习杂种",30,1
"洗精瓶",30,1
"轮子功",20,1
"习境平",30,1
"法轮功",20,1
"习进瓶",30,1
"肛交",30,1
"08宪章",20,1
"勿忘六四",20,1
"六四真相",20,1
"天安门时报",20,1
"六四事件中的戒严部队",20,1
"胡锦涛走向个人崇拜",20,1
"江青和她的丈夫们——沙叶新禁品选",20,1
"血染的六月",20,1
"“八九”动乱",20,1
"江贼民",20,1
"天安门大屠杀",20,1
"全球审江大联盟",20,1
"江蛤蟆",20,1
"NTDTV",20,1
"茳澤民",20,1
"吾尔开希",20,1
"丁子霖",20,1
"支联会",20,1
"吴杰与北京64事件",30,1
"生奸中出",30,1
"坦克人",20,1
"民主女神像",20,1
"天安门母亲的呼唤",20,1
"89暴乱",20,1
"89动乱",20,1
"89风波",20,1
"89六四",20,1
"89年动乱",20,1
"89学潮",20,1
"89学潮新闻资料",20,1
"89运动",20,1
"八九动乱",20,1
"打倒gcd",20,1
"六月第四天",20,1
"吾尔凯希",20,1
"公残裆",20,1
"乌尔凯西",20,1
"撸管图",30,1
"淫民导航",30,1
"操b网",20,1
"吾爾開希",20,1
"烏爾凱西",20,1
"春夏之交的政治風波",20,1
"必須旗幟鮮明地反對動亂",20,1
"四·二六社論",20,1
"426社論",20,1
"王維林",20,1
"民運人士",20,1
"天安門媽媽",20,1
"乡村精品h文合集",30,1
"抱妹妹a片网",30,1
"操逼网",30,1
"日夜肏",30,1
"色屌爽",30,1
"操嫩B电影网",30,1
"射一嘴",30,1
"123操逼网",30,1
"夜操逼",30,1
"淫水狂流",30,1
"手操屄",30,1
"操逼逼",30,1
"插逼网",30,1
"肏白虎",30,1
"阴户舔",30,1
"人妻教师的淫情地狱",30,1
"扣逼网",30,1
"成人首页干妹妹",30,1
"天灭中共",30,1
"习蛤",20,1
"台湾总统",20,1
"平反六四",20,1
"李洪志",20,1
"习近萍",20,1
"习近评",20,1
"席进贫",20,1
"习近苹",20,1
"法轮大法",30,1
"刁进平",20,1
"陆肆学潮",20,1
"六四平反",20,1
"陆四学潮",20,1
"神韵晚会",20,1
"打倒共产党",20,1
"乌尔开西",20,1
"平反64",20,1
"勿忘八九",20,1
"六四学潮",20,1
"八九民运",20,1
"八九学潮",20,1
"八九学运",20,1
"天安门暴乱",20,1
"八九六四",20,1
"名主八九",20,1
"温影家帝宝",20,1
"64平反",20,1
"5月三十五号",20,1
"挡坦克的男人",20,1
"共中灭天",20,1
"习近痞",20,1
"今天是64",20,1
"tiananmen89",20,1
"中共暴政",20,1
"石涛评述",20,1
"香港故事之收藏六四",20,1
"收藏六四",20,1
"五个学生mm露脸实战教学性爱经验",20,1
"天安门自焚",20,1
"中南海静坐",20,1
"天安门母亲运动",20,1
"六四天网",20,1
"L月S日",20,1
"6.4 Tiananmen Square Mourning",20,1
"64天安门",20,1
"六四特别报道",20,1
"六四专访",20,1
"纪念六四",20,1
"优昙婆罗花",20,1
"民主歌声献中华",20,1
"4.26社论",20,1
"守护八九学生的理想",20,1
"守望良知的六四黑",20,1
"天安门妈妈",20,1
"六四戰歌",20,1
"凤凰卫视赵紫阳纪念专辑",20,1
"1989年六四前夕赵紫阳在北京天安门广场对学生发表讲话",20,1
"六四日记",20,1
"赵紫阳回忆录",20,1
"李鹏日记",20,1
"雷人网事",20,1
"香港支联会",20,1
"我又没有镇压学生",20,1
"六四战歌",20,1
"六四事件",20,1
"八九风波",20,1
"八九事件",20,1
"八九运动",20,1
"六四风波",20,1
"bloodisonthesquare",20,1
"六四屠城三论",20,1
"六四与阿Bi的一九九几",20,1
"新媒体运动与本土六四",20,1
"民主会战胜归来",20,1
"滞纳猪",20,1
"卖国逆贼习近平",30,1
"灭习檄文",20,1
"窃国大盗习近平",30,1
"讨习檄文",20,1
"习近平要死",30,1
"习李联手推茶",20,1
"习卖屄",20,1
"吸血的熙進屏",30,1
"袭煮席",30,1
"匀近平",30,1
"远平大帝",30,1
"叼斤平",30,1
"叼近蚲",30,1
"席家有人叫烬平",30,1
"习進平",30,1
"洗金瓶总书籍",30,1
"丶习丶平丶近",30,1
"习迸平",30,1
"网瘾少年习丶近平",30,1
"刁近干",30,1
"习劲平",30,1
"魔法少女彭丽媛",30,1
"习竟瓶",30,1
"媳净瓶",30,1
"(刁平近|刁静平|刁劲平|刁斤萍|刁进泙|刁迈平|刁远平|洗劲贫)",20,2
"(江长者|江蛤蛤)",20,2
"(捌玖陆肆|八九六四)",20,2
